nom,date,min_minutes_to_active_zone
Kalenda,2026-05-18,1357.634
Tshofa,2026-05-18,1010.232
Pimu,2026-05-18,1393.963
Nyanga,2026-05-18,1711.841
Kalonda Ouest,2026-05-18,1659.274
Kamonia,2026-05-18,1706.437
Mutena,2026-05-18,1670.372
Banga Lubaka,2026-05-18,1792.394
Kamwesha,2026-05-18,1600.655
Mweka,2026-05-18,1646.744
Moba,2026-05-18,1131.079
Bogosenubea,2026-05-18,1626.568
Muanda,2026-05-18,3016.548
Kitona,2026-05-18,3042.286
Boma,2026-05-18,2930.568
Boma Bungu,2026-05-18,2926.814
Seke Banza,2026-05-18,2896.93
Inga,2026-05-18,2868.73
Lukula,2026-05-18,2998.213
Tshela,2026-05-18,3040.839
Vaku,2026-05-18,2993.026
Kizu,2026-05-18,3030.466
Kibunzi,2026-05-18,2878.122
Luozi,2026-05-18,2824.932
Kimpangu,2026-05-18,2691.328
Ngidinga,2026-05-18,2672.485
Boko Kivulu,2026-05-18,2630.199
Mbanza Ngungu,2026-05-18,2634.651
Kwilu Ngongo,2026-05-18,2659.184
Kisantu,2026-05-18,2608.596
Mikope,2026-05-18,1868.568
Oshwe,2026-05-18,2228.596
Bosobe,2026-05-18,2424.822
Bokoro,2026-05-18,2345.92
Masi Manimba,2026-05-18,2141.826
Yasa Bonga,2026-05-18,2166.513
Idiofa,2026-05-18,1941.348
Ipamu,2026-05-18,2046.233
Koshibanda,2026-05-18,1916.681
Kingandu,2026-05-18,2035.393
Bulungu,2026-05-18,2040.765
Bagata,2026-05-18,2214.626
Bandundu,2026-05-18,2344.55
Kajiji,2026-05-18,2109.908
Kikwit Nord,2026-05-18,1971.48
Lusanga,2026-05-18,1990.35
Feshi,2026-05-18,2183.802
Wamba Lwadi,2026-05-18,2291.867
Panzi,2026-05-18,2202.707
Tembo,2026-05-18,2417.51
Moanza,2026-05-18,2141.392
Kimbao,2026-05-18,2288.324
Kenge,2026-05-18,2208.344
Boko,2026-05-18,2275.182
Viadana,2026-05-18,538.341
Poko,2026-05-18,583.795
Basali,2026-05-18,889.257
Basoko,2026-05-18,931.55
Bengamisa,2026-05-18,726.179
Yakusu,2026-05-18,724.544
Yahisuli,2026-05-18,869.949
Yabaondo,2026-05-18,831.78
Isangi,2026-05-18,773.411
Yaleko,2026-05-18,910.383
Banalia,2026-05-18,672.69
Bafwasende,2026-05-18,451.18
Bafwagbogbo,2026-05-18,490.021
Buta,2026-05-18,890.261
Titule,2026-05-18,734.801
Ganga,2026-05-18,664.036
Vanga,2026-05-18,2104.345
Djuma,2026-05-18,2116.342
Sia,2026-05-18,2209.376
Mungindu,2026-05-18,1946.26
Kimputu,2026-05-18,2049.729
Mosango,2026-05-18,2069.399
Pay Kongila,2026-05-18,2014.065
Matadi,2026-05-18,2816.048
Nzanza,2026-05-18,2820.088
Ndjili,2026-05-18,2472.403
Mont Ngafula 1,2026-05-18,2496.896
Biyela,2026-05-18,2478.72
Kikimi,2026-05-18,2482.268
Lemba,2026-05-18,2480.706
Matete,2026-05-18,2474.19
Kisenso,2026-05-18,2477.416
Lingwala,2026-05-18,2483.132
Barumbu,2026-05-18,2483.543
Kinshasa,2026-05-18,2481.836
Limete,2026-05-18,2477.76
Kalamu 2,2026-05-18,2480.908
Kalamu 1,2026-05-18,2479.313
Bumbu,2026-05-18,2487.696
Makala,2026-05-18,2480.548
Ngaba,2026-05-18,2477.688
Bandalungwa,2026-05-18,2485.3
Selembao,2026-05-18,2483.32
Masina 1,2026-05-18,2468.24
Kintambo,2026-05-18,2487.336
Kasa Vubu,2026-05-18,2482.479
Ngiri Ngiri,2026-05-18,2484.406
Binza Meteo,2026-05-18,2493.398
Binza Ozone,2026-05-18,2494.092
Kikongo,2026-05-18,2298.295
Mont Ngafula 2,2026-05-18,2500.153
Sona Bata,2026-05-18,2576.439
Nsele,2026-05-18,2463.088
Kanzala,2026-05-18,1651.873
Tshikapa,2026-05-18,1693.374
Kingasani,2026-05-18,2466.993
Kimbanseke,2026-05-18,2475.754
Bwamanda,2026-05-18,1663.436
Kungu,2026-05-18,1705.1
Loko,2026-05-18,1486.498
Bangabola,2026-05-18,1655.063
Boso Mondanda,2026-05-18,1547.853
Budjala,2026-05-18,1624.272
Binga,2026-05-18,1483.394
Yamaluka,2026-05-18,1256.601
Boso Manzi,2026-05-18,1382.741
Karawa,2026-05-18,1556.665
Bominenge,2026-05-18,1572.63
Gemena,2026-05-18,1602.263
Mbaya,2026-05-18,1506.571
Bulu,2026-05-18,1534.095
Tandala,2026-05-18,1651.796
Kibombo,2026-05-18,910.125
Kindu,2026-05-18,796.157
Alunguli,2026-05-18,790.59
Kokolo,2026-05-18,2484.922
Police,2026-05-18,2483.85
Makiso Kisangani,2026-05-18,646.502
Mangobo,2026-05-18,673.868
Kabondo,2026-05-18,666.495
Tshopo,2026-05-18,695.141
Kaniama,2026-05-18,1404.296
Kalemie,2026-05-18,836.378
Kansimba,2026-05-18,946.4
Butumba,2026-05-18,1845.641
Kinkondja,2026-05-18,1225.511
Baka,2026-05-18,1619.234
Kiambi,2026-05-18,986.244
Manono,2026-05-18,1056.835
Samba,2026-05-18,755.285
Kasongo,2026-05-18,729.149
